  0.426,   0.007,  -0.000,   0.673
  0.428,   0.007,  -0.000,   0.673
  0.431,   0.007,  -0.001,   0.691
  0.433,   0.007,  -0.001,   0.691
  0.435,   0.007,  -0.001,   0.691
  0.437,   0.007,  -0.001,   0.691
  0.440,   0.007,  -0.001,   0.691
  0.442,   0.008,  -0.001,   0.708
  0.444,   0.008,  -0.001,   0.708
  0.446,   0.008,  -0.001,   0.708
  0.448,   0.008,  -0.001,   0.708
  0.450,   0.008,  -0.001,   0.708
  0.452,   0.008,  -0.002,   0.726
  0.454,   0.008,  -0.002,   0.726
  0.456,   0.008,  -0.002,   0.726
  0.458,   0.008,  -0.002,   0.726
  0.460,   0.008,  -0.002,   0.726
  0.463,   0.009,  -0.002,   0.744
  0.465,   0.009,  -0.002,   0.744
  0.467,   0.009,  -0.002,   0.744
  0.469,   0.009,  -0.002,   0.744
  0.471,   0.009,  -0.003,   0.761
  0.473,   0.009,  -0.003,   0.761
  0.475,   0.009,  -0.003,   0.761
  0.477,   0.009,  -0.003,   0.761
  0.480,   0.009,  -0.003,   0.761
  0.482,   0.010,  -0.003,   0.778
  0.484,   0.010,  -0.003,   0.778
  0.486,   0.010,  -0.003,   0.778
  0.488,   0.010,  -0.003,   0.778
  0.490,   0.010,  -0.003,   0.778
  0.492,   0.010,  -0.003,   0.795
  0.494,   0.010,  -0.003,   0.795
  0.496,   0.010,  -0.003,   0.795
  0.498,   0.010,  -0.003,   0.795
  0.500,   0.010,  -0.003,   0.795
  0.502,   0.011,  -0.004,   0.812
  0.504,   0.011,  -0.004,   0.812
  0.506,   0.011,  -0.004,   0.812
  0.508,   0.011,  -0.004,   0.812
  0.510,   0.011,  -0.004,   0.812
  0.512,   0.011,  -0.004,   0.828
  0.514,   0.011,  -0.004,   0.828
  0.516,   0.011,  -0.004,   0.828
  0.518,   0.011,  -0.004,   0.828
  0.520,   0.011,  -0.004,   0.828
  0.522,   0.011,  -0.004,   0.844
  0.524,   0.011,  -0.004,   0.844
  0.526,   0.011,  -0.004,   0.844
  0.528,   0.011,  -0.004,   0.844
  0.530,   0.011,  -0.004,   0.844
  0.532,   0.012,  -0.004,   0.860
